,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,가스사용량,가열로 번호,가열완료 온도,가열중 마지막 문닫힌 시간,가열중 문열림 횟수,뺄시간,소재 list,시작시간,시작온도,실제 시작시간,원래시작점온도,이전 종료시간,작업일자,종료시간,종료온도,주/야간,최종 가열시작 온도,평균온도,평일/주말
133,reheat,,0,,,,,,,49.80000000074506,4,,,,1,,2020-01-15 09:48:00,1030.6,,,,,2020-01-15 10:01:00,,,,,
134,hold,,0,,,,,,,23.299999998882413,4,,,,,,2020-01-15 10:01:00,1262.2,,,,,2020-01-15 10:10:00,1254.9,,,1258.38,
135,open,,0,,,,,,,8.900000000372529,4,,,,,,2020-01-15 10:10:00,1254.9,,,,,2020-01-15 10:17:00,990.6,,,,
136,reheat,,0,,,,,,,48.09999999962747,4,,,,0,,2020-01-15 10:17:00,990.6,,,,,2020-01-15 10:28:00,,,,,
137,hold,,0,,,,,,,37.5,4,,,,,,2020-01-15 10:28:00,1255.5,,,,,2020-01-15 10:42:00,1252.5,,,1252.5733333333333,
138,open,,0,,,,,,,8.900000000372529,4,,,,,,2020-01-15 10:42:00,1252.5,,,,,2020-01-15 10:49:00,952.2,,,,
139,reheat,,0,,,,,,,53.19999999925494,4,,,,1,,2020-01-15 10:49:00,952.2,,,,,2020-01-15 11:00:00,,,,,
140,hold,,0,,,,,,,37.30000000074506,4,,,,,,2020-01-15 11:00:00,1255.2,,,,,2020-01-15 11:14:00,1253.6,,,1252.9199999999998,
141,open,,0,,,,,,,7.099999999627471,4,,,,,,2020-01-15 11:14:00,1253.6,,,,,2020-01-15 11:21:00,912.0,,,,
142,reheat,,0,,,,,,,5.400000000372529,4,,,,1,,2020-01-15 11:21:00,912.0,,,,,2020-01-15 11:24:00,,,,,
143,open,,0,,,,,,,1.699999999254942,4,,,,,,2020-01-15 11:24:00,1051.0,,,,,2020-01-15 11:27:00,869.9,,,,
144,reheat,,0,,,,,,,114.80000000074506,4,,,,1,,2020-01-15 11:27:00,869.9,,,,,2020-01-15 11:50:00,,,,,
145,hold,,0,,,,,,,314.30000000074506,4,,,,,,2020-01-15 11:50:00,1253.8,,,,,2020-01-15 14:02:00,1275.7,,,1256.0218045112783,
146,open,,0,,,,,,,3.5,4,,,,,,2020-01-15 14:02:00,1275.7,,,,,2020-01-15 14:05:00,1103.7,,,,
147,reheat,,0,,,,,,,40.59999999962747,4,,,,1,,2020-01-15 14:05:00,1103.7,,,,,2020-01-15 14:17:00,,,,,
148,hold,,0,,,,,,,40.69999999925494,4,,,,,,2020-01-15 14:17:00,1276.7,,,,,2020-01-15 14:34:00,1275.1,,,1273.2777777777778,
149,open,,0,,,,,,,3.599999999627471,4,,,,,,2020-01-15 14:34:00,1275.1,,,,,2020-01-15 14:39:00,908.0,,,,
150,reheat,,0,,,,,,,87.90000000037253,4,,,,1,,2020-01-15 14:39:00,908.0,,,,,2020-01-15 15:01:00,,,,,
151,hold,,0,,,,,,,44.09999999962747,4,,,,,,2020-01-15 15:01:00,1270.6,,,,,2020-01-15 15:18:00,1276.8,,,1272.677777777778,
152,open,,0,,,,,,,1.800000000745058,4,,,,,,2020-01-15 15:18:00,1276.8,,,,,2020-01-15 15:21:00,1057.7,,,,
153,reheat,,0,,,,,,,49.40000000037253,4,,,,1,,2020-01-15 15:21:00,1057.7,,,,,2020-01-15 15:34:00,,,,,
154,heat,9,0,511.44827586206907,,,increasing 0,494.4000000000001,0.9666666666666667,480.40000000037253,4,1260.2,0,0,1,"['200105-19180-276', '200105-19180-280', '200105-19180-279', '200105-19180-278', '200105-19180-277', '200105-19180-275', '200105-19180-274', '200105-19180-273']",2020-01-15 17:11:00,765.8,2020-01-15 17:10:00,737.6,2020-01-15 15:47:00,,2020-01-15 18:09:00,1260.2,,0,,
155,open,,0,,,,,,,35.80000000074506,4,,,,,,2020-01-15 18:21:00,1258.1,,,,,2020-01-15 18:54:00,696.0,,,,
156,reheat,,0,,,,,,,501.2999999988824,4,,,,3,,2020-01-15 18:54:00,696.0,,,,,2020-01-15 19:43:00,,,,,
157,hold,,0,,,,,,,2318.7000000011176,4,,,,,,2020-01-15 19:43:00,1258.7,,,,,2020-01-16 08:46:00,1272.5,,,1252.135969387755,
158,open,,0,,,,,,,10.799999998882413,4,,,,,,2020-01-16 08:46:00,1272.5,,,,,2020-01-16 08:53:00,996.6,,,,
