,에너지,시간(총),시간(0제외),시작온도,A_num,A_sum,A_max,C_num,C_sum,C_max,S_num,S_sum,S_max,H_A_num,H_A_sum,H_A_max,H_C_num,H_C_sum,H_C_max,H_S_num,H_S_sum,H_S_max,장입소재개수,장입중량총합,장입최대중량,열괴장입소재개수,열괴장입중량총합,열괴장입최대중량,민감소재장입개수,민감소재중량총합,민감소재최대중량,비민감소재장입개수,비민감소재중량총합,비민감소재최대중량,쉰시간,문열림횟수,drop,가열로번호,작업일자,주/야간,가열시작시간,요일,겹침여부,민감여부,직전 사이클 소재 수량,겹치는 소재 수량,강종종류,주말여부
71,1622.5,12480,12300,727.4,0,0,0,8,48890,6730,0,0,0,0,0,0,0,0,0,0,0,0,8,48890,6730,0,0,0,0,0,0,8,48890,6730,1560,0,누락없음,5,2019-08-08,야간,2019-08-08 7:03,목,안겹침,0,7,0,C,평일
72,786.9,4860,4800,742.2,0,0,0,2,27600,13800,0,0,0,0,0,0,0,0,0,0,0,0,4,37600,13800,0,0,0,0,0,0,4,37600,13800,14820,0,강종누락,4,2019-08-08,야간,2019-08-08 2:53,목,안겹침,0,7,0,C,평일
73,159.9,2040,1980,834.9,2,27048,13524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41648,14600,0,0,0,0,0,0,3,41648,14600,300,0,강종누락,1,2019-08-08,주간,2019-08-07 19:01,수,안겹침,0,2,0,A,평일
74,2046.3,119280,48840,334.9,0,0,0,4,25880,6470,1,7140,7140,0,0,0,0,0,0,0,0,0,5,33020,7140,0,0,0,0,0,0,5,33020,7140,42960,0,누락없음,1,2019-08-12,주간,2019-08-10 7:34,토,안겹침,0,3,0,CS,주말
75,146.2,1380,1320,739.6,0,0,0,9,58230,6470,0,0,0,0,0,0,0,0,0,0,0,0,9,58230,6470,0,0,0,0,0,0,9,58230,6470,1437360,0,누락없음,2,2019-08-12,야간,2019-08-12 16:18,월,안겹침,0,8,0,C,주말
76,3891.6,31500,27480,259.0,0,0,0,2,14980,8690,0,0,0,0,0,0,2,29700,14850,0,0,0,4,44680,14850,2,29700,14850,0,0,0,4,44680,14850,291840,2,누락없음,5,2019-08-13,주간,2019-08-12 15:14,월,안겹침,0,8,0,C,주말
77,88.5,1860,1800,1089.1,0,0,0,6,38580,6470,0,0,0,0,0,0,0,0,0,0,0,0,6,38580,6470,0,0,0,0,0,0,6,38580,6470,58320,1,누락없음,1,2019-08-13,주간,2019-08-13 8:12,화,겹침,0,5,5,C,평일
78,2058.8,14400,14400,433.3,7,105890,16100,5,33180,7300,0,0,0,0,0,0,0,0,0,0,0,0,12,139070,16100,0,0,0,0,0,0,12,139070,16100,8820,0,누락없음,2,2019-08-13,야간,2019-08-13 4:26,화,안겹침,0,9,0,AC,평일
79,2442.1,21240,20100,637.0,0,0,0,0,0,0,0,0,0,0,0,0,3,39300,13100,0,0,0,8,137300,19600,3,39300,13100,0,0,0,8,137300,19600,1980,4,강종누락,5,2019-08-14,주간,2019-08-13 16:13,화,안겹침,0,4,0,C,평일
80,997.3,12720,12300,589.7,1,10660,10660,7,51920,9190,0,0,0,0,0,0,0,0,0,0,0,0,8,62580,10660,0,0,0,0,0,0,8,62580,10660,1740,3,누락없음,1,2019-08-14,주간,2019-08-13 19:45,화,안겹침,0,6,0,AC,평일
81,1819.7,13260,12780,573.7,4,25090,9200,7,50390,9020,0,0,0,0,0,0,0,0,0,0,0,0,11,75480,9200,0,0,0,3,15890,5640,8,59590,9200,2520,2,누락없음,2,2019-08-14,야간,2019-08-14 6:12,수,안겹침,0,12,0,AC,평일
82,191.0,2460,2280,794.1,0,0,0,3,19410,6470,0,0,0,0,0,0,0,0,0,0,0,0,3,19410,6470,0,0,0,0,0,0,3,19410,6470,1740,0,누락없음,1,2019-08-15,주간,2019-08-14 18:54,수,안겹침,0,8,0,C,평일
