,Type,cycle,drop_flag,gradient,in,out,part_types,temp diff,time diff,啊胶荤侩樊,啊凯肺 锅龋,啊凯肯丰 柯档,啊凯吝 付瘤阜 巩摧腮 矫埃,啊凯吝 巩凯覆 冉荐,滑矫埃,家犁 list,矫累矫埃,矫累柯档,角力 矫累矫埃,盔贰矫累痢柯档,捞傈 辆丰矫埃,累诀老磊,辆丰矫埃,辆丰柯档,林/具埃,弥辆 啊凯矫累 柯档,乞闭柯档,乞老/林富
110,hold,62.0,0.0,,,,,,,98.39999999850988,2,,,,,[''],2020-06-18 08:48:00,1274.1,,,,2020-06-18,2020-06-18 09:24:00,1254.9,林埃,,1257.2567567567567,
111,hold,63.0,0.0,,,,,,,476.6999999992548,2,,,,,[''],2020-06-18 23:39:00,1276.2,,,,2020-06-19,2020-06-19 02:47:00,1256.6,林埃,,1254.3767195767198,
112,hold,64.0,0.0,,,,,,,115.89999999850988,2,,,,,[''],2020-06-22 09:02:00,1279.5,,,,2020-06-22,2020-06-22 09:41:00,1274.9,林埃,,1274.4824999999996,
113,hold,66.0,0.0,,,,,,,573.4000000003724,2,,,,,[''],2020-06-24 10:39:00,1277.7,,,,2020-06-24,2020-06-24 14:34:00,1277.7,林埃,,1273.8360169491525,
114,hold,67.0,0.0,,,,,,,1983.9000000003725,2,,,,,[''],2020-06-26 10:06:00,1251.6,,,,2020-06-26,2020-06-26 20:42:00,1275.5,具埃,,1258.3125588697014,
115,hold,68.0,0.0,,,,,,,1580.3999999985099,2,,,,,[''],2020-06-29 09:22:00,1258.8,,,,2020-06-29,2020-06-29 18:09:00,1254.7,具埃,,1253.3083333333334,
116,hold,69.0,0.0,,,,,,,2319.6000000014897,2,,,,,[''],2020-07-01 04:35:00,1259.0,,,,2020-07-01,2020-07-01 13:20:00,1256.1,具埃,,1254.447433460076,
117,hold,70.0,0.0,,,,,,,1598.6999999992554,2,,,,,[''],2020-07-02 11:19:00,1269.1,,,,2020-07-02,2020-07-02 20:34:00,1275.4,具埃,,1255.024460431655,
118,hold,71.0,0.0,,,,,,,139.7000000011176,2,,,,,[''],2020-07-07 17:00:00,1273.1,,,,2020-07-07,2020-07-07 17:58:00,1275.4,林埃,,1274.0762711864404,
119,hold,73.0,0.0,,,,,,,154.69999999925494,2,,,,,[''],2020-07-09 17:04:00,1287.8,,,,2020-07-09,2020-07-09 17:55:00,1275.6,林埃,,1277.2673076923074,
120,hold,74.0,0.0,,,,,,,187.6999999992549,2,,,,,[''],2020-07-10 12:00:00,1290.4,,,,2020-07-10,2020-07-10 13:10:00,1277.6,林埃,,1276.3450704225356,
121,hold,75.0,0.0,,,,,,,123.59999999962747,2,,,,,[''],2020-07-13 15:24:00,1268.4,,,,2020-07-13,2020-07-13 16:02:00,1257.4,具埃,,1256.5871794871796,
122,hold,0.0,0.0,,,,,,,937.0999999996277,3,,,,,[''],2020-03-02 11:25:00,1238.0,,,,,2020-03-02 14:32:00,1247.2,,,1240.759574468085,
123,hold,1.0,0.0,,,,,,,743.5999999996277,3,,,,,[''],2020-03-03 15:18:00,1248.2,,,,2020-03-03,2020-03-03 20:13:00,1248.3,具埃,,1247.97027027027,
124,hold,5.0,0.0,,,,,,,296.79999999888236,3,,,,,[''],2020-03-10 11:23:00,1272.0,,,,2020-03-10,2020-03-10 13:00:00,1267.2,林埃,,1268.781632653061,
125,hold,6.0,0.0,,,,,,,242.6999999992549,3,,,,,[''],2020-03-11 11:42:00,1272.0,,,,2020-03-11,2020-03-11 13:00:00,1268.6,林埃,,1268.7949367088609,
126,hold,7.0,0.0,,,,,,,2641.2000000011176,3,,,,,[''],2020-03-11 19:49:00,1254.1,,,,2020-03-12,2020-03-12 08:57:00,1266.2,林埃,,1250.942712294043,
127,hold,9.0,0.0,,,,,,,499.0,3,,,,,[''],2020-03-16 10:33:00,1273.1,,,,2020-03-16,2020-03-16 12:56:00,1267.7,具埃,,1265.4534722222222,
